,Unnamed: 0,track_id,timestamp_ms,x,y,vx,vy,ax,ay
23842,23842,reprocessed_2024-07-16-14-47-54.bag_644,207141.27221679688,-4.859433102322441,1.894300254337537,0.0571398461591473,0.0081118282395481,0.1208096520370595,0.0212803714737257
23843,23843,reprocessed_2024-07-16-14-47-54.bag_644,207241.2990722656,-4.848503199161257,1.889749414938393,0.0653003486639279,0.0154135442403401,0.1266098667089394,0.0316022943430463
23844,23844,reprocessed_2024-07-16-14-47-54.bag_644,207374.62915039065,-4.842536603017607,1.8974253312090357,0.0729035398231092,0.0215390750277115,0.1012000878929565,0.0393254988839717
23845,23845,reprocessed_2024-07-16-14-47-54.bag_644,207441.2670898437,-4.843385783480073,1.8978098369865108,0.0701180787852075,0.022754837928455,0.0739588696803079,0.0470516132949236
23846,23846,reprocessed_2024-07-16-14-47-54.bag_644,207541.2600097656,-4.850334400361305,1.9013271927266828,0.0672933924229518,0.0240778391788308,0.0654666071594004,0.0437319559300484
23847,23847,reprocessed_2024-07-16-14-47-54.bag_644,207674.6501464844,-4.839350723370728,1.906700556540386,0.0749332912841904,0.0258400318857152,0.0579347154290249,0.0508277063679788
23848,23848,reprocessed_2024-07-16-14-47-54.bag_644,207741.3271484375,-4.823918182418879,1.9099779412193243,0.0932894291364938,0.0350152308991204,0.076225908289203,0.0509262136441543
23849,23849,reprocessed_2024-07-16-14-47-54.bag_644,207841.27709960932,-4.80719417752357,1.912580079337061,0.0970932974852101,0.0398872089050555,0.0671360916820901,0.0573389837225116
23850,23850,reprocessed_2024-07-16-14-47-54.bag_644,207941.27416992188,-4.806936462166846,1.9022108945029288,0.0879612450074496,0.0314032153111311,0.0522109744514871,0.0406072439776377
23851,23851,reprocessed_2024-07-16-14-47-54.bag_644,208074.6740722656,-4.79792699035562,1.8878498476393588,0.0842137865361983,0.0277693205297823,0.0465282396724335,0.0311657510382877
23852,23852,reprocessed_2024-07-16-14-47-54.bag_644,208174.68701171875,-4.799899714131072,1.8784901627371084,0.0783356257975357,0.0234900588609962,0.0261003022660068,0.019510708813091
23853,23853,reprocessed_2024-07-16-14-47-54.bag_644,208307.80517578125,-4.796802124596013,1.8770876937613536,0.0720157215586578,0.0191015009259995,0.0131944107758799,0.008914225083594
23854,23854,reprocessed_2024-07-16-14-47-54.bag_644,208374.71020507807,-4.80262782441622,1.8800933843047003,0.0589156929361032,0.0199731061231616,-0.0120881687234833,0.0056227076399015
23855,23855,reprocessed_2024-07-16-14-47-54.bag_644,208474.6850585937,-4.830543313611315,1.892364401423066,0.0350953764069068,0.0178071911273844,-0.0317344264198955,0.0016318243431379
23856,23856,reprocessed_2024-07-16-14-47-54.bag_644,208574.69409179688,-4.844408766086474,1.899013641489745,0.0217793535425623,0.0135731449289596,-0.042224371298534,-0.0039249363193367
23857,23857,reprocessed_2024-07-16-14-47-54.bag_644,208674.71508789065,-4.846677877516925,1.9104055867758236,0.0065957970909065,0.0134046645835263,-0.0631322391366615,-0.0054144626899845
23858,23858,reprocessed_2024-07-16-14-47-54.bag_644,208774.71215820312,-4.845438973903868,1.8987370917784572,0.0001371281385831,0.0086585093793662,-0.0971210985083414,-0.0239214537369676
23859,23859,reprocessed_2024-07-16-14-47-54.bag_644,208908.32421875,-4.844631125421927,1.8983713960579396,-0.0024431654152093,0.0046379848841011,-0.1028580520645209,-0.031804971487048
23860,23860,reprocessed_2024-07-16-14-47-54.bag_644,209074.73120117188,-4.849040387900686,1.9103621475888983,-0.0033600755389737,0.0090570954394986,-0.0942767337803644,-0.0206651250302478
23861,23861,reprocessed_2024-07-16-14-47-54.bag_644,209174.72509765625,-4.852641119120506,1.9120001355101124,-0.0011279724110721,0.0078040853156931,-0.0892353054418724,-0.0191941512345408
23862,23862,reprocessed_2024-07-16-14-47-54.bag_644,209307.86401367188,-4.845989280052322,1.9193231199185448,-0.0032866993219397,0.0087853814960431,-0.0849793165629009,-0.0141784009111679
